stage000<F,0,0,1,2,3,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,<S,8,9,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,<B,1,2,3,0,1,2,3,0,1,1,2,3,0,0,0,0,0,0,0,0,<G,2,<n
stage001<F,0,0,1,2,3,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,<S,8,9,1,2,1,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,<B,1,3,3,0,1,2,3,0,1,1,2,3,0,0,0,0,0,0,0,0,<G,0,<n
stage002<F,0,0,1,2,3,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,<S,8,9,0,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,<B,1,2,2,0,1,3,3,2,1,2,1,2,2,2,0,0,0,0,0,0,<G,1,<n
stage003<F,0,0,1,2,3,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,<S,8,9,9,1,2,0,8,0,8,0,0,0,0,0,0,0,0,3,0,0,<B,1,2,1,3,1,2,3,0,1,1,2,3,0,0,0,0,0,0,0,0,<G,0,<n
stage004<F,0,0,1,2,3,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,<S,8,9,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,<B,1,2,3,3,1,2,3,0,1,1,2,3,0,0,0,0,0,0,0,0,<G,3,<n
stage005<F,0,0,1,2,3,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,<S,8,9,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,<B,1,2,3,0,1,2,3,0,1,1,2,3,0,0,0,0,0,0,0,0,<G,4,<n
stage006<F,0,0,1,2,3,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,<S,8,9,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,<B,1,2,3,0,1,2,3,0,1,1,2,3,0,0,0,0,0,0,0,0,<G,2,<n
stage007<F,0,0,1,2,3,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,<S,8,9,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,<B,1,2,3,0,1,2,3,0,1,1,2,3,0,0,0,0,0,0,0,0,<G,2,<n
stage008<F,0,0,1,2,3,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,<S,8,9,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,<B,1,2,3,0,1,2,3,0,1,1,2,3,0,0,0,0,0,0,0,0,<G,2,<n
stage009<F,0,0,1,2,3,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,<S,8,9,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,<B,1,2,3,0,1,2,3,0,1,1,2,3,0,0,0,0,0,0,0,0,<G,2,<n
stage010<F,0,0,1,2,3,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,<S,8,9,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,<B,1,2,3,0,1,2,3,0,1,1,2,3,0,0,0,0,0,0,0,0,<G,2,<n
stage011<F,0,0,1,2,3,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,<S,8,9,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,<B,1,2,3,0,1,2,3,0,1,1,2,3,0,0,0,0,0,0,0,0,<G,2,<n
